date,rating,deviation,n_faceoffs,wins,player_id,player_name
2012-04,1514.8438448293887,33.87532194401716,223,112,8473558,Cory Emmerton
2012-10,1467.057820178885,35.58795713692501,265,127,8473558,Cory Emmerton
2012-11,1450.4151417532985,33.618373879007656,327,152,8473558,Cory Emmerton
2012-12,1475.9538477272247,41.116468527642986,336,159,8473558,Cory Emmerton
2013-01,1472.0634581937916,41.77944628273157,388,182,8473558,Cory Emmerton
2013-02,1505.4534397297036,27.750255488464777,519,246,8473558,Cory Emmerton
2013-03,1486.5535470535212,25.272282318954698,658,306,8473558,Cory Emmerton
2013-04,1488.944391776215,23.017126094496184,834,386,8473558,Cory Emmerton
2014-01,1481.2845026925613,48.32274764757547,850,393,8473558,Cory Emmerton
2014-03,1556.8035645394195,45.41169488281283,883,414,8473558,Cory Emmerton
2014-10,1539.8840833962881,46.10250341631529,910,428,8473558,Cory Emmerton
2014-12,1539.4462930836808,44.72528537088863,941,444,8473558,Cory Emmerton
Starting,1500.0,240.0,0,0,8471657,Cody McLeod
2011-01,1398.5661884827946,210.33431092789016,1,0,8471657,Cody McLeod
2011-02,1589.2151958325194,161.48232960444923,4,2,8471657,Cody McLeod
2011-10,1443.6511716150176,131.81045585798557,8,3,8471657,Cody McLeod
2012-12,1528.4580860272727,133.05302903353567,11,5,8471657,Cody McLeod
2013-01,1512.4383145297097,118.54329035859071,14,6,8471657,Cody McLeod
2013-02,1502.657743223193,99.38312034118005,20,10,8471657,Cody McLeod
2013-03,1404.8555521682647,84.35184390860947,27,12,8471657,Cody McLeod
2013-04,1399.2240840699728,87.4805794578437,28,12,8471657,Cody McLeod
2014-02,1440.5365679759739,101.38252013674152,29,13,8471657,Cody McLeod
2014-03,1390.6666508919945,98.5397403081812,31,13,8471657,Cody McLeod
2014-10,1304.8923665491866,91.57890738041812,36,13,8471657,Cody McLeod
2014-12,1302.809159493978,92.57037969863282,38,14,8471657,Cody McLeod
2015-10,1206.3878479445193,97.84140014549934,44,14,8471657,Cody McLeod
2015-12,1231.3129657051113,98.20156508490862,47,15,8471657,Cody McLeod
2016-03,1299.9043157227386,116.56034699146112,48,16,8471657,Cody McLeod
2017-04,1228.4368275359386,125.32395781155205,51,16,8471657,Cody McLeod
2019-11,1181.95049988863,160.77678480311997,52,16,8471657,Cody McLeod
Starting,1500.0,240.0,0,0,8466398,Tom Kostopoulos
2011-01,1281.4786272610997,178.32050304796982,3,0,8466398,Tom Kostopoulos
2011-02,1324.540003240959,99.34693200774645,16,4,8466398,Tom Kostopoulos
2011-03,1293.0337800443358,61.62294609237771,43,11,8466398,Tom Kostopoulos
2011-04,1319.5830212742396,64.39971098655957,47,13,8466398,Tom Kostopoulos
2011-10,1332.731567958796,61.27297726938704,60,16,8466398,Tom Kostopoulos
